Tarea,Categoría,Subcategoría,Valor,mes 
Caption amor y amistad,Generación de leads,Contenido,"0,4",1
Publicar Repost: @amparosmadrid2001,Generación de leads,Contenido,"0,25",1
Caption Repost: @amparosmadrid2001,Generación de leads,Contenido,"0,38",1
envivo,Reactivación,Evento,"0,86",1
envivo,Reactivación,Evento,2,1
envivo,Reactivación,Evento,2,1
Revisar campaña cierre de mes,Generación de leads,Ads,2,1
campaña nico,Generación de leads,Ads,"0,43",1
revisar campaña y BD nico,Datos,CRM,0,1
revisar campaña y BD nico,Datos,CRM,"0,56",1
Enviar mensaje de fin de mes,Reactivación,Campaña,2,1
campaña MQE - pensar con nico,Generación de leads,Ads,"1,02",1
Enviar mensaje de fin de mes,Reactivación,Campaña,"0,66",1
Clasificar tipo A,Datos,CRM,"0,37",1
Verificar el calificador de converzaciones,Entrega,Desarrollo,"0,5",1
envivo,Reactivación,Evento,"0,72",1
envivo mqe,Reactivación,Evento,2,1
Crear mensaje de estamos en vivo,Reactivación,Campaña,"1,06",1
Corregir calculadora para el evento,Entrega,Desarrollo,"0,48",1
pasar clientes a los comerciales,Diagnóstico,Distribución leads,"1,15",1
pasar clientes a los comerciales,Diagnóstico,Distribución leads,"0,3",1
pasar clientes a los comerciales,Diagnóstico,Distribución leads,"1,13",1
Crear campaña de 26 de enero,Generación de leads,Ads,2,1
campaña envivo,Reactivación,Ads,"1,64",1
Crear mensajes para segundo en vivo,Reactivación,Campaña,"1,27",1
Caption y programar Repost,Generación de leads,Contenido,"0,65",1
Enviar campaña de cierre para las personas del envivo,Reactivación,Campaña,2,1
Filtrar mensaje CONTAR,Datos,CRM,"1,31",1
Publicar video Maquina nueva,Generación de leads,Video,"0,29",1
organizar envivo,Reactivación,Evento,"0,5",1
envivo,Reactivación,Evento,2,1
llamadas,Atención inmediata,Llamadas,"1,5",1
En vivo,Reactivación,Evento,2,1
Sacar personas para el envivo,Reactivación,CRM,2,1
Hacer campaña recontacto,Reactivación,Campaña,2,1
crear campaña-nico,Generación de leads,Ads,"0,33",1
enviar campaña nico,Reactivación,Campaña,"0,33",1
ajustar bot - fichas tecnicas,Datos,IA,"0,3",1
crear disparadores para cada ficha técnica en el bot,Datos,IA,"0,5",1
revisar CRM con claudia,Datos,CRM,"0,07",1
Web publicar precios,Generación de leads,Web,"0,4",1
Web - Publicar precios nuevos,Generación de leads,Web,"0,55",1
publicar y copy de video,Generación de leads,Video,"0,76",1
publicar video CM05i,Generación de leads,Video,—,1
Importar cliente tipo A,Datos,CRM,2,1
Llamadas Clientes,Atención inmediata,Llamadas,"1,16",1
Publicar Video Visita Empanadas el Arranque,Generación de leads,Video,"0,42",1
Caption Video Visita Empanadas el Arranque,Generación de leads,Video,"0,25",1
revision de campañas,Generación de leads,Ads,2,1
plan de ventas,Cierre,Estrategia,2,1
plan de ventas,Cierre,Estrategia,2,1
Publicar foto Las Picadoras,Generación de leads,Contenido,"0,22",1
Edición y caption foto Las Picadoras,Generación de leads,Contenido,"0,5",1
crear reporte,Datos,Reportes,"1,85",1
Crear Plan,Cierre,Estrategia,2,1
Enviar campaña postferia,Reactivación,Campaña,2,1
Publicar Video Gracias Manizales,Generación de leads,Video,"0,55",1
Publicar Video Gracias Manizales,Generación de leads,Video,"0,5",1
Caption Video Gracias Manizales,Generación de leads,Video,"0,4",1
Edición Video Gracias Manizales,Generación de leads,Video,"1,5",1
Publicar Simple Gracias Manizales,Generación de leads,Contenido,"0,25",1
Caption Simple Gracias Manizales,Generación de leads,Contenido,"0,5",1
Simple Gracias Manizales,Generación de leads,Contenido,"0,5",1
Banner Gracias Manizales,Generación de leads,Contenido,1,1
Sincronizar pauta de Meta,Generación de leads,Ads,2,1
Implementar chatWood,Datos,Integraciones,"0,78",1
Seguimiento leads,Diagnóstico,Seguimiento,2,1
Revisar plan de contenidos,Generación de leads,Contenido,"1,6",1
Crear FAQ,Generación de leads,Web,"1,56",1
Revisar asignaciones con Claudia,Diagnóstico,Distribución leads,"1,46",1
Clasificar Clientes,Datos,CRM,"1,51",1
Analizar todas las converzaciones con IA,Datos,IA,"1,27",1
Crear video de remarketing FERIA MZL,Generación de leads,Video,"1,55",1
Ajustar permisos de comercio exterior,Datos,CRM,"0,05",1
Campaña de Descuento,Generación de leads,Ads,2,1
Verificar agendas del Feria,Atención inmediata,Eventos,"0,54",1
Verificar agendas del Feria,Atención inmediata,Eventos,"0,51",1
Verificar agendas del Feria,Atención inmediata,Eventos,2,1
Verificar agendas del Feria,Atención inmediata,Eventos,"0,93",1
Ajustar fecha pendiente,Atención inmediata,Eventos,"0,82",1
Revisar mejores publicaciones,Generación de leads,Contenido,"0,41",1
Revisar Agendados Seller Chat,Atención inmediata,Eventos,"0,94",1
Revisar campaña,Generación de leads,Ads,"1,53",1
Campaña WP - Comienza la feria,Reactivación,Campaña,2,1
Campaña de empezó la feria,Reactivación,Campaña,"0,16",1
Reporte de comentarios,Atención inmediata,Eventos,"1,47",1
Revisar Seller Chat,Atención inmediata,Eventos,2,1
Auditar sellerchat,Atención inmediata,Eventos,"0,09",1
Auditar sellerchat,Atención inmediata,Eventos,"0,09",1
crear anuncio con video,Generación de leads,Ads,"0,44",1
CREAR PAUTA PARA EVENTO,Generación de leads,Ads,"0,98",1
Crear campaña de ferias,Generación de leads,Ads,"0,23",1
Montar campaña de ferias,Generación de leads,Ads,"1,4",1
Ajustar robot,Datos,IA,"1,37",1
Enviar campaña Colombia,Reactivación,Campaña,"0,56",1
contenido pauta_3 meses,Generación de leads,Ads,"1,3",2
contenido pauta_3 meses,Generación de leads,Ads,2,2
Crear campaña de Meta Ads,Generación de leads,Ads,2,2
Crear anuncios en Meta,Generación de leads,Ads,"1,38",2
Publicar la campaña,Generación de leads,Ads,2,2
Revisar campaña de Meta,Generación de leads,Ads,2,2
Revisar campaña,Generación de leads,Ads,2,2
Publicar anuncios de Envivo,Generación de leads,Ads,"1,91",2
Publicar Amor y Amistad,Generación de leads,Contenido,"0,25",2
Simple amor y amistad,Generación de leads,Contenido,1,2
Publicar Simple San Valentin,Generación de leads,Contenido,"0,2",2
Caption San Valentin,Generación de leads,Contenido,"0,25",2
Banner y Simple San Valentin,Generación de leads,Contenido,2,2
Publicar video - no espere a que se agoten,Generación de leads,Contenido video,"0,4",2
Caption video - no espere a que se agoten,Generación de leads,Contenido video,"0,35",2
Editar video - no espere a que se agoten,Generación de leads,Producción video,2,2
Publicar video Valentin - Millones por dia,Generación de leads,Contenido video,"0,4",2
Caption video Valentin - Millones por dia,Generación de leads,Contenido video,"0,3",2
Editar Video Valentín - Millones por dia,Generación de leads,Producción video,2,2
Publicar Video - Quiere diferenciarse,Generación de leads,Contenido video,"0,4",2
Caption Video - Quiere diferenciarse,Generación de leads,Contenido video,"0,3",2
Cambios Video - Quiere diferenciarse,Generación de leads,Producción video,1,2
Editar video - ¿Quiere diferenciarse?,Generación de leads,Producción video,2,2
Caption Repost Antojos y Empanadas,Generación de leads,Contenido,"0,35",2
grabacion molde corazon,Generación de leads,Producción,"0,7",2
grabación molde corazon,Generación de leads,Producción,2,2
Enviar promo de Corazón,Generación de leads,Promoción,2,2
Poner la calculadora en la landing,Generación de leads,Landing,"0,79",2
Ajustar landing,Generación de leads,Landing,2,2
Crear landing con videos,Generación de leads,Landing,2,2
Programar campaña para actividad Del martes,Generación de leads,Eventos,2,2
Crear campaña de en vivo,Generación de leads,Eventos,"1,29",2
campaña_llamada_envivo,Generación de leads,Eventos,"1,3",2
Revisar respuestas de clientes,Atención inmediata,Eventos,"0,59",2
Revisar respuestas de clientes,Atención inmediata,Eventos,2,2
Recuperar llamadas perdidas de channels,Atención inmediata,Llamadas,"1,51",2
hacer llamadas de invitación,Atención inmediata,Eventos,1,2
hacer llamadas de invitación,Atención inmediata,Eventos,2,2
Mensaje para completar datos,Atención inmediata,Follow up,2,2
